TimeSR,datesMondays,datesNextMonday,TwitterdatesMondaysT,TwitterdatesNextMondayT,RedyearMon,RedmonthMon,ReddayMon,RedyearMonNext,RedmonthMonNext,ReddayMonNext
2020.51,14/12/2020,21/12/2020,2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,2020,12,14,2020,12,21
2020.52,21/12/2020,28/12/2020,2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,2020,12,21,2020,12,28
2020.53,28/12/2020,04/01/2021,2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,2020,12,28,2021,1,4
2021.01,04/01/2021,11/01/2021,2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,2021,1,4,2021,1,11
2021.02,11/01/2021,18/01/2021,2021-01-11T00:00:00Z,2021-01-18T00:00:00Z,2021,1,11,2021,1,18
2021.03,18/01/2021,25/01/2021,2021-01-18T00:00:00Z,2021-01-25T00:00:00Z,2021,1,18,2021,1,25
2021.04,25/01/2021,01/02/2021,2021-01-25T00:00:00Z,2021-02-01T00:00:00Z,2021,1,25,2021,2,1
2021.05,01/02/2021,08/02/2021,2021-02-01T00:00:00Z,2021-02-08T00:00:00Z,2021,2,1,2021,2,8
2021.06,08/02/2021,15/02/2021,2021-02-08T00:00:00Z,2021-02-15T00:00:00Z,2021,2,8,2021,2,15
2021.07,15/02/2021,22/02/2021,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021,2,15,2021,2,22
2021.08,22/02/2021,01/03/2021,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021,2,22,2021,3,1
2021.09,01/03/2021,08/03/2021,2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,2021,3,1,2021,3,8
2021.1,08/03/2021,15/03/2021,2021-03-08T00:00:00Z,2021-03-15T00:00:00Z,2021,3,8,2021,3,15
2021.11,15/03/2021,22/03/2021,2021-03-15T00:00:00Z,2021-03-22T00:00:00Z,2021,3,15,2021,3,22
2021.12,22/03/2021,29/03/2021,2021-03-22T00:00:00Z,2021-03-29T00:00:00Z,2021,3,22,2021,3,29
2021.13,29/03/2021,05/04/2021,2021-03-29T00:00:00Z,2021-04-05T00:00:00Z,2021,3,29,2021,4,5
2021.14,05/04/2021,12/04/2021,2021-04-05T00:00:00Z,2021-04-12T00:00:00Z,2021,4,5,2021,4,12
2021.15,12/04/2021,19/04/2021,2021-04-12T00:00:00Z,2021-04-19T00:00:00Z,2021,4,12,2021,4,19
2021.16,19/04/2021,26/04/2021,2021-04-19T00:00:00Z,2021-04-26T00:00:00Z,2021,4,19,2021,4,26
2021.17,26/04/2021,03/05/2021,2021-04-26T00:00:00Z,2021-05-03T00:00:00Z,2021,4,26,2021,5,3
2021.18,03/05/2021,10/05/2021,2021-05-03T00:00:00Z,2021-05-10T00:00:00Z,2021,5,3,2021,5,10
2021.19,10/05/2021,17/05/2021,2021-05-10T00:00:00Z,2021-05-17T00:00:00Z,2021,5,10,2021,5,17
2021.2,17/05/2021,24/05/2021,2021-05-17T00:00:00Z,2021-05-24T00:00:00Z,2021,5,17,2021,5,24
2021.21,24/05/2021,31/05/2021,2021-05-24T00:00:00Z,2021-05-31T00:00:00Z,2021,5,24,2021,5,31
2021.22,31/05/2021,07/06/2021,2021-05-31T00:00:00Z,2021-06-07T00:00:00Z,2021,5,31,2021,6,7
2021.23,07/06/2021,14/06/2021,2021-06-07T00:00:00Z,2021-06-14T00:00:00Z,2021,6,7,2021,6,14
2021.24,14/06/2021,21/06/2021,2021-06-14T00:00:00Z,2021-06-21T00:00:00Z,2021,6,14,2021,6,21
2021.25,21/06/2021,28/06/2021,2021-06-21T00:00:00Z,2021-06-28T00:00:00Z,2021,6,21,2021,6,28
2021.26,28/06/2021,05/07/2021,2021-06-28T00:00:00Z,2021-07-05T00:00:00Z,2021,6,28,2021,7,5
2021.27,05/07/2021,12/07/2021,2021-07-05T00:00:00Z,2021-07-12T00:00:00Z,2021,7,5,2021,7,12
2021.28,12/07/2021,19/07/2021,2021-07-12T00:00:00Z,2021-07-19T00:00:00Z,2021,7,12,2021,7,19
2021.29,19/07/2021,26/07/2021,2021-07-19T00:00:00Z,2021-07-26T00:00:00Z,2021,7,19,2021,7,26
